profile_description_tr,monthly_data_usage_gb,monthly_voice_min,monthly_spend_try,tenure_months,past_accepted_count,past_rejected_count,complaint_count,data_usage_trend_pct,target_segment,target_priority,is_converted
"57 aylık abone, aylık 23.9 GB veri ve 646 dk konuşma, ortalama 522 TL harcama (ARPU), veri kullanımı %31 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",23.865082923398504,646.1401811437368,522.3736499440233,57,2,1,0,-30.6530592190294,RISKLI_KAYIP,YUKSEK,0
"49 aylık abone, aylık 15.8 GB veri ve 558 dk konuşma, ortalama 361 TL harcama (ARPU).",15.7556236598561,558.8544818344053,360.5843693750758,49,1,2,0,4.420557380378479,YUKSEK_DEGER,YUKSEK,1
"44 aylık abone, aylık 14.7 GB veri ve 469 dk konuşma, ortalama 365 TL harcama (ARPU).",14.719641093964627,469.9966662659093,365.4522639091112,44,0,1,0,8.664045639663488,YUKSEK_DEGER,YUKSEK,1
"103 aylık abone, aylık 14.7 GB veri ve 467 dk konuşma, ortalama 302 TL harcama (ARPU), 3 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",14.71981446589102,467.5738309064802,302.3632615421193,103,2,1,3,-2.502417402135446,RISKLI_KAYIP,KRITIK,0
"80 aylık abone, aylık 43.4 GB veri ve 480 dk konuşma, ortalama 776 TL harcama (ARPU).",43.37285392701307,480.4383227029281,776.100532194199,80,1,0,0,29.97712649957241,YUKSEK_DEGER,YUKSEK,1
"75 aylık abone, aylık 28.0 GB veri ve 667 dk konuşma, ortalama 576 TL harcama (ARPU), 3 şikayet kaydı (memnuniyetsiz), veri kullanımı %31 düşüşte (churn sinyali).",28.03193131245345,667.7629201621473,576.1980304474083,75,1,0,3,-30.60270427521415,RISKLI_KAYIP,KRITIK,1
"14 aylık abone, aylık 12.4 GB veri ve 401 dk konuşma, ortalama 309 TL harcama (ARPU).",12.371873640044983,401.16398151964256,308.62959535933584,14,1,2,0,-12.79840424836841,BELIRSIZ,ORTA,1
"3 aylık abone, aylık 24.5 GB veri ve 678 dk konuşma, ortalama 547 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",24.539487269914137,678.6538446940444,547.4231840082429,3,2,0,1,24.381049796601477,YUKSEK_DEGER,YUKSEK,1
"115 aylık abone, aylık 20.3 GB veri ve 882 dk konuşma, ortalama 560 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",20.34157736888209,882.598951125366,560.4421509913169,115,4,1,0,13.106913561971755,YUKSEK_DEGER,YUKSEK,0
"114 aylık abone, aylık 3.2 GB veri ve 665 dk konuşma, ortalama 278 TL harcama (ARPU).",3.1550379734437195,665.1414715626399,277.8581822316718,114,1,1,1,-11.988531260209427,BELIRSIZ,ORTA,1
"62 aylık abone, aylık 7.9 GB veri ve 526 dk konuşma, ortalama 241 TL harcama (ARPU).",7.932953325870719,526.0828942165726,240.6775135242662,62,0,0,0,15.01171166742576,BELIRSIZ,ORTA,0
"106 aylık abone, aylık 21.3 GB veri ve 340 dk konuşma, ortalama 497 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",21.30339337360387,340.37462298907394,497.4108039599738,106,3,1,0,-14.824011127160688,YUKSEK_DEGER,YUKSEK,1
"64 aylık abone, aylık 41.0 GB veri ve 915 dk konuşma, ortalama 824 TL harcama (ARPU).",40.954435563418784,915.6213615823028,824.0619377820994,64,1,0,1,-2.752895769480639,YUKSEK_DEGER,YUKSEK,0
